case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,notes
surrGrid_H0340_obsH0036_x0320,training_grid,0.34,0.036,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0036_x0350,training_grid,0.34,0.036,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0036_x0380,training_grid,0.34,0.036,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0220,training_grid,0.34,0.042,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0250,training_grid,0.34,0.042,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0275,training_grid,0.34,0.042,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0292,training_grid,0.34,0.042,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0320,training_grid,0.34,0.042,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0350,training_grid,0.34,0.042,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0042_x0380,training_grid,0.34,0.042,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0220,training_grid,0.34,0.048,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0250,training_grid,0.34,0.048,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0275,training_grid,0.34,0.048,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0292,training_grid,0.34,0.048,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0320,training_grid,0.34,0.048,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0350,training_grid,0.34,0.048,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0048_x0380,training_grid,0.34,0.048,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0220,training_grid,0.34,0.06,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0250,training_grid,0.34,0.06,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0275,training_grid,0.34,0.06,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0292,training_grid,0.34,0.06,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0320,training_grid,0.34,0.06,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0350,training_grid,0.34,0.06,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0060_x0380,training_grid,0.34,0.06,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0220,training_grid,0.34,0.066,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0250,training_grid,0.34,0.066,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0275,training_grid,0.34,0.066,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0292,training_grid,0.34,0.066,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0320,training_grid,0.34,0.066,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0350,training_grid,0.34,0.066,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0066_x0380,training_grid,0.34,0.066,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0220,training_grid,0.34,0.072,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0250,training_grid,0.34,0.072,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0275,training_grid,0.34,0.072,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0292,training_grid,0.34,0.072,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0320,training_grid,0.34,0.072,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0350,training_grid,0.34,0.072,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0340_obsH0072_x0380,training_grid,0.34,0.072,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0220,training_grid,0.365,0.03,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0250,training_grid,0.365,0.03,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0275,training_grid,0.365,0.03,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0292,training_grid,0.365,0.03,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0320,training_grid,0.365,0.03,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0350,training_grid,0.365,0.03,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0030_x0380,training_grid,0.365,0.03,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0220,training_grid,0.365,0.036,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0250,training_grid,0.365,0.036,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0275,training_grid,0.365,0.036,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0292,training_grid,0.365,0.036,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0320,training_grid,0.365,0.036,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0350,training_grid,0.365,0.036,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0036_x0380,training_grid,0.365,0.036,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0220,training_grid,0.365,0.042,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0250,training_grid,0.365,0.042,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0275,training_grid,0.365,0.042,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0292,training_grid,0.365,0.042,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0320,training_grid,0.365,0.042,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0350,training_grid,0.365,0.042,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0042_x0380,training_grid,0.365,0.042,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0220,training_grid,0.365,0.048,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0250,training_grid,0.365,0.048,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0275,training_grid,0.365,0.048,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0292,training_grid,0.365,0.048,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0320,training_grid,0.365,0.048,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0350,training_grid,0.365,0.048,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0048_x0380,training_grid,0.365,0.048,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0220,training_grid,0.365,0.06,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0250,training_grid,0.365,0.06,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0275,training_grid,0.365,0.06,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0292,training_grid,0.365,0.06,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0320,training_grid,0.365,0.06,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0350,training_grid,0.365,0.06,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0060_x0380,training_grid,0.365,0.06,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0220,training_grid,0.365,0.066,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0250,training_grid,0.365,0.066,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0275,training_grid,0.365,0.066,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0292,training_grid,0.365,0.066,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0320,training_grid,0.365,0.066,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0350,training_grid,0.365,0.066,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0066_x0380,training_grid,0.365,0.066,0.38,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0220,training_grid,0.365,0.072,0.22,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0250,training_grid,0.365,0.072,0.25,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0275,training_grid,0.365,0.072,0.275,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0292,training_grid,0.365,0.072,0.292,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0320,training_grid,0.365,0.072,0.32,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0350,training_grid,0.365,0.072,0.35,0.024,1.5,0.025,0.005,
surrGrid_H0365_obsH0072_x0380,training_grid,0.365,0.072,0.38,0.024,1.5,0.025,0.005,
